#Lattice_param_density RunID Fraction-of-void_volume% Fraction-of-1st-largest-void% Surface2volume-of-1st-largest Sn% O%
a14p7_d4p86 run13 12.47176296296288732728 12.46639999999987 3.9827213822894167 68.92067620286086 31.079323797139143
a14p7_d4p86 run14 13.11940740740738975786 13.107851851851777 3.0444444444444443 68.72358410819949 31.276415891800507
a14p7_d4p86 run15 13.18802962962954776540 13.17623703703691 2.854643823264202 67.98446710957238 32.01553289042762
a14p7_d4p86 run16 12.73134814814806246307 12.685451851851733 3.8506012950971322 68.71364546581482 31.286354534185183
a14p7_d4p86 run17 12.64586666666660175095 12.614962962962858 3.1329456587126527 69.64727572655379 30.352724273446217
a14p7_d4p86 run18 13.79105185185187519099 13.782992592592556 2.421003427859146 72.0030971032975 27.996902896702498
a14p7_d4p86 run19 12.69919999999988786788 12.6917629629628 3.3098330241187384 68.54163677237288 31.45836322762711
a14p7_d4p86 run2 12.45724444444441728807 12.452829629629555 4.027609590699927 67.2238547136182 32.77614528638181
a14p7_d4p86 run20 12.95214814814807381707 12.942548148148022 3.7887418703745235 71.47005104669132 28.52994895330867
a14p7_d4p86 run3 12.25724444444441097299 12.198162962962876 3.584636301835486 69.51364175563464 30.486358244365363
a14p7_d4p86 run4 12.78613333333329361564 12.780562962962883 3.485897435897436 70.88692007240164 29.11307992759836
a14p7_d4p86 run5 14.09327407407423155065 14.0831703703705 3.0951435277125836 71.45880174580083 28.54119825419918
a14p7_d4p86 run6 13.04471111111106291798 13.037659259259161 3.5088346655448044 69.48448798693725 30.515512013062747
a14p7_d4p86 run7 12.55632592592582763194 12.525422222222065 3.5893451720310767 70.04111245465538 29.95888754534462
a14p7_d4p86 run8 14.57768888888924914861 14.57031111111144 2.6673524291818325 70.52299991369638 29.477000086303615
a14p7_d4p86 run9 12.85973333333325899353 12.851881481481362 3.2798295454545454 71.01607320658101 28.983926793418995
a14p9_d4p67 run1 15.78456296296349553990 15.779496296296811 2.712296296296296 71.76949477212867 28.230505227871337
