5.75		0.9439	0.9901	1.0181	1.0287	1.033	1.03725	1.0285	1.03155	1.03155	1.0439	1.02575
5.8125		0.9512	0.958	0.9995	1.00885	1.01145	1.01715	0.9994	1.014	1.0205	1.0184	1.01495
5.875		0.9364	0.9502	0.9734	0.9839	0.98195	0.9974	0.97665	0.9822	0.98435	0.99155	0.98985
5.9375		0.932	0.9251	0.9529	0.94875	0.9515	0.9687	0.95405	0.9577	0.985	0.9737	0.9711
6		0.939	0.9232	0.9352	0.9289	0.9297	0.95245	0.93265	0.9434	0.9557	0.9567	0.9513
6.0625		0.9382	0.9232	0.9158	0.91565	0.9243	0.9376	0.91705	0.92015	0.941	0.9427	0.9386
6.125		0.9474	0.9375	0.912	0.9113	0.898	0.92215	0.91565	0.91595	0.92625	0.91895	0.9262
6.1875		0.9392	0.9462	0.9169	0.9239	0.9011	0.9153	0.9105	0.92445	0.92905	0.9142	0.921
6.25		0.9562	0.9537	0.9454	0.9344	0.91715	0.93195	0.9199	0.9254	0.9243	0.9222	0.91
6.3125		0.9652	0.9467	0.9416	0.9404	0.9262	0.93215	0.93695	0.9345	0.92715	0.91345	0.91665
6.375		0.9814	0.9596	0.933	0.9419	0.93215	0.948	0.95265	0.94445	0.9334	0.9336	0.92115
6.4375		0.9768	0.9753	0.9541	0.9549	0.95075	0.95565	0.9579	0.9569	0.9427	0.94575	0.9239
6.5		0.9828	0.989	0.9719	0.95905	0.969	0.96645	0.97475	0.96775	0.95145	0.94355	0.9246
6.5625		0.9814	0.9796	0.9779	0.96985	0.98985	0.968	0.9809	0.96655	0.9713	0.9492	0.9264
6.625		0.9909	0.9909	0.9798	0.987	1.00025	0.9763	0.992	0.9782	0.9728	0.95555	0.93375
6.6875		0.9828	0.997	0.9805	0.99095	0.99705	0.97665	0.9969	0.9744	0.97425	0.9636	0.94535
6.75		0.9854	0.9899	0.968	0.98815	1	0.9768	0.9983	0.98365	0.96625	0.9606	0.9464
6.8125		1	0.9971	0.9851	0.9854	1.0025	0.9807	0.9945	0.9851	0.9702	0.9668	0.95955
6.875		1.0142	0.9911	0.994	0.97475	0.99895	0.9862	0.994	0.9906	0.97725	0.9654	0.96565
6.9375		1.0193	1.0045	0.991	0.9836	0.9942	0.9818	0.9975	0.9921	0.9819	0.9736	0.97215
7		1.0247	1.0057	0.9889	0.9845	0.99495	0.98515	1.0006	0.99755	0.99105	0.9788	0.97525
7.0625		1.0368	1.0074	0.9936	0.9888	0.99255	0.98985	1.0055	1.0001	0.9955	0.9847	0.97455
7.125		1.0341	1.0038	0.9986	1.0006	1.0013	1.0006	1.00745	1.00175	1.00335	0.99245	0.98055
7.1875		1.0338	0.9993	0.9996	1.00865	1.00165	1.001	1.0087	0.99985	1.00855	0.99425	0.9774
7.25		1.049	1.0083	0.9973	1.0187	1.0076	1.005	1.00195	0.99515	1.0011	0.99615	0.9887
