8.8125	  1.234	0.9827	0.9832	0.9801	0.9529
8.875	  1.225	0.9836	0.975	0.9843	0.9636
8.9375	  1.202	0.9789	0.9752	0.9808	0.9678
9	  0.920	0.9709	0.9736	0.9778	0.975
9.0625	  0.640	0.9756	0.9781	0.9835	0.9813
9.125	  0.478	0.9734	0.9728	0.9791	0.9855
9.1875	  0.612	0.9854	0.9761	0.9794	0.9957
9.25	  1.112	0.9959	0.988	0.9837	1.0051
9.3125	  1.526	0.9985	0.9977	0.9994	1.0098
9.375	  1.414	1.0026	0.9948	1.0044	1.0061
9.4375	  1.157	0.9967	0.9952	1.0091	1.0076
9.5	  1.033	0.9954	1.0026	1.0105	1.0035
9.5625	  0.931	0.9898	0.9951	1.0016	1.0053
9.625	  0.726	0.988	0.994	1.0017	0.999
9.6875	  0.583	0.9894	0.998	1.0032	1.0061
9.75	  0.664	1.0086	0.9995	1.0008	1.0049
9.8125	  0.954	1.0162	0.9971	0.9992	1.0166
9.875	  1.058	1.0135	0.9921	0.995	1.0309
9.9375	  0.930	1.0095	0.9915	0.9908	1.0435
10	  0.838	1.011	0.9884	1.0126	1.0413
10.0625	  0.807	1.0109	0.994	1.0249	1.0414
10.125	  0.822	1.0091	1.0003	1.0303	1.0404
10.1875	  0.927	0.9974	1.0134	1.0288	1.0243
10.25	  0.956	0.9968	1.0272	1.0248	1.0173
10.3125	  0.903	0.9996	1.0368	1.0253	1.0071
10.375	  1.038	1.0057	1.04	1.0258	1.007
10.4375	  1.201	1.0053	1.0277	1.0195	1.0032
10.5	  1.337	1.0067	1.0256	1.0184	1.0004
10.5625	  1.488	1.0077	1.018	1.011	1.0032
10.625	  1.499	1.0131	1.0124	1.0151	0.9954
10.6875	  1.386	1.0187	1.0013	1.0144	0.9866
10.75	  1.099	1.0195	1.0022	0.9987	0.9833
10.8125	  0.794	1.0078	0.997	0.9912	0.9719
10.875	  0.570	1.0051	0.9984	0.9805	0.9705
10.9375	  0.524	0.9989	1.0022	0.9766	0.9695
