#Initial_density ZeroPressure_density ECN(Sn-O) TV L_ave(Sn-O) TV sigma2 TV
a14p7_d4p86 4.858968447281451 2.87673 0 2.15771 0 0.00487602 0
a14p9_d4p67 4.665919888445623 2.95742 0 2.15821 0 0.00389863 0
a14p9_d4p67 4.665919888445623 2.8752 0 2.14668 0 0.00503995 0
a14p9_d4p67 4.6774050095410225 2.95146 0 2.15427 0 0.00298348 0
a14p9_d4p67 4.665919888445623 2.91519 0 2.17762 0 0.00483505 0
a14p9_d4p67 4.721857342800631 2.90789 0 2.15039 0 0.00587722 0
a14p9_d4p67 4.665919888445623 2.88614 0 2.17323 0 0.0028915 0
a14p9_d4p67 4.824140423017141 2.95634 0 2.1561 0 0.0024692 0
a14p9_d4p67 4.665919888445623 2.8772 0 2.13636 0 0.00393325 0
a14p9_d4p67 4.665919888445623 2.88675 0 2.16932 0 0.00612124 0
a14p9_d4p67 4.665919888445623 2.85403 0 2.15337 0 0.00964653 0
a14p9_d4p67 4.665919888445623 2.93375 0 2.13859 0 0.00414559 0
a14p9_d4p67 4.665919888445623 2.9303 0 2.16604 0 0.00971432 0
a14p9_d4p67 4.6701695720410195 2.92917 0 2.15222 0 0.00611191 0
a14p9_d4p67 4.559436011104452 2.9691 0 2.15626 0 0.00508262 0
a14p9_d4p67 4.921985463861668 2.94005 0 2.15539 0 0.00591434 0
a14p9_d4p67 4.664246775281062 2.93269 0 2.15202 0 0.00436043 0
a14p9_d4p67 4.665919888445623 2.8814 0 2.16332 0 0.00644083 0
a14p9_d4p67 4.665919888445623 2.8844 0 2.12889 0 0.00583224 0
a14p9_d4p67 4.665919888445623 2.87903 0 2.17107 0 0.0064822 0
a14p9_d4p67 4.665919888445623 2.86834 0 2.1568 0 0.00407951 0
a15p1_d4p48 4.482963896106512 2.89093 0 2.16372 0 0.00549981 0
a15p1_d4p48 4.482963896106512 2.91752 0 2.18155 0 0.00524889 0
a15p1_d4p48 4.482963896106512 2.85656 0 2.14693 0 0.00595268 0
a15p1_d4p48 4.482963896106512 2.85472 0 2.13377 0 0.00516138 0
